Date,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of Countries
4/18/20,2317234,163214,591715,1562305,77607,7.04,25.54,27.58,185
4/19/20,2400776,167772,623307,1609697,83542,6.99,25.96,26.92,185
4/2/20,1013458,55817,210263,747378,0,5.51,20.75,26.55,181
4/20/20,2471727,173097,645308,1653322,1458269,7.0,26.11,26.82,185
4/21/20,2549038,180235,679894,1688909,77311,7.07,26.67,26.51,185
4/22/20,2624602,186912,710033,1727657,77752,7.12,27.05,26.32,185
4/23/20,2708403,193665,738980,1775758,83801,7.15,27.28,26.21,185
4/24/20,2795731,199997,789585,1806149,97362,7.15,28.24,25.33,185
4/25/20,2881140,206187,817405,1857548,85409,7.16,28.37,25.22,185
4/26/20,2955033,209900,845985,1899148,73894,7.1,28.63,24.81,185
4/27/20,3023722,214444,873677,1935601,68689,7.09,28.89,24.54,185
4/28/20,3097229,220801,906955,1969473,74029,7.13,29.28,24.35,185
4/29/20,3172287,227665,948425,1996197,77570,7.18,29.9,24.0,185
4/3/20,1095876,61812,225796,808268,0,5.64,20.6,27.38,181
4/30/20,3256910,233360,1013886,2009664,2161034,7.17,31.13,23.02,187
4/4/20,1176059,67981,246152,861926,0,5.78,20.93,27.62,181
4/5/20,1249737,73076,260012,916649,73678,5.85,20.81,28.1,183
4/6/20,1321427,78767,276515,966145,71690,5.96,20.93,28.49,184
4/7/20,1396438,86662,300054,1009722,75011,6.21,21.49,28.88,184
4/8/20,1480200,93354,328661,1058185,83762,6.31,22.2,28.4,184
4/9/20,1565538,100882,353975,1110681,85338,6.44,22.61,28.5,184
5/1/20,3343777,238619,1052415,2052743,1778239,7.14,31.47,22.67,187
5/2/20,3427584,243813,1093137,2090634,83974,7.11,31.89,22.3,187
5/3/20,3506729,247470,1125236,2134023,79145,7.06,32.09,21.99,187
5/4/20,3583055,251537,1162724,2168794,76327,7.02,32.45,21.63,187
5/5/20,3662691,257239,1198832,2206620,79636,7.02,32.73,21.46,187
5/6/20,3756069,263855,1245413,2246801,93378,7.02,33.16,21.19,187
5/7/20,3845718,269567,1284741,2291410,91232,7.01,33.41,20.98,187
5/8/20,3938064,274898,1322050,2341116,93826,6.98,33.57,20.79,187
5/9/20,4024009,279311,1375624,2369074,85945,6.94,34.19,20.3,187
